X,Y,SurveyID,SurveyNumber,MagAnomaly,uncertainty
12000.0353237086,1983824.35910621,U371CB,74,31.4000000000029,81
12003.7989699597,1983546.77913079,U371CB,74,30.6999999999985,81
12007.5638435144,1983269.19924968,U371CB,74,29.3000000000044,81
12011.3299443228,1982991.61946288,U371CB,74,27.0000000000015,81
12003.6533445778,1982681.02420874,U371CB,74,25.4000000000029,81
12007.4218799932,1982403.44457982,U371CB,74,24.6999999999971,81
12010.9175860232,1982114.77236269,U371CB,74,24.6999999999971,81
12014.6886187652,1981837.19292467,U371CB,74,26.3000000000029,81
12019.0088205718,1981581.79893697,U371CB,74,29.0999999999985,81
12022.5082924448,1981293.12700728,U371CB,74,37,81
12025.7351964102,1980993.36250308,U371CB,74,45.5,81
12029.7850195381,1980726.87611572,U371CB,74,58,81
12022.9394786861,1980449.55934931,U371CB,74,70.5999999999985,81
12026.4439646958,1980160.88777175,U371CB,74,89.3000000000029,81
12029.6760520269,1979861.12362758,U371CB,74,108.099999999999,81
12033.4568800677,1979583.54491335,U371CB,74,127.900000000001,81
12037.5125616913,1979317.0589544,U371CB,74,147.499999999999,81
12041.0222160768,1979028.38776783,U371CB,74,166.4,81
12034.1831030343,1978751.07131318,U371CB,74,185.300000000001,81
12037.6951864695,1978462.40028326,U371CB,74,199.9,81
12041.4820416183,1978184.82200534,U371CB,74,213.499999999999,81
12044.9967087797,1977896.15117093,U371CB,74,222.700000000003,81
12048.5126900228,1977607.48043542,U371CB,74,229.9,81
12052.5766372758,1977340.99509125,U371CB,74,237.099999999997,81
12056.0951573517,1977052.32454893,U371CB,74,244.499999999999,81
12059.614991355,1976763.65410552,U371CB,74,248.999999999997,81
12063.4093336985,1976486.07640037,U371CB,74,251.600000000003,81
12056.5799173237,1976208.76042874,U371CB,74,255.600000000003,81
12060.3765632614,1975931.18287468,U371CB,74,261.099999999996,81
12053.2760747572,1975642.77434967,U371CB,74,266.100000000003,81
12056.802034693,1975354.1043162,U371CB,74,270.3,81
12060.3293082956,1975065.43438164,U371CB,74,275.599999999996,81
10891.7344936116,1974672.44608393,U371CB,74,280.1,81
10770.2436728562,1974919.63258705,U371CB,74,277.500000000001,81
10648.7565597518,1975166.82060984,U371CB,74,277.800000000004,81
10537.8987626868,1975413.74779365,U371CB,74,278,81
10406.3414665465,1975683.38688065,U371CB,74,279.5,81
10285.1397999332,1975941.67234506,U371CB,74,281.299999999996,81
10163.6678370404,1976188.86649726,U371CB,74,284,81
10042.1995845865,1976436.06217022,U371CB,74,286.5,81
9931.08562790125,1976671.90362009,U371CB,74,291.499999999999,81
9810.17362510198,1976941.28804694,U371CB,74,296.999999999999,81
9688.99112636171,1977199.58113136,U371CB,74,303.4,81
9567.53781346016,1977446.78282484,U371CB,74,310.300000000001,81
9446.08821375138,1977693.98604015,U371CB,74,318.099999999997,81
9324.64232778421,1977941.19077751,U371CB,74,323.799999999999,81
9203.47520850168,1978199.4900308,U371CB,74,332.000000000001,81
9071.68785645749,1978458.05437167,U371CB,74,340.299999999997,81
8950.52871326351,1978716.35683355,U371CB,74,347.400000000003,81
8829.37349735777,1978974.66085085,U371CB,74,353.300000000004,81
8718.01956868352,1979199.42341977,U371CB,74,354.700000000006,81
8596.87176645006,1979457.7304013,U371CB,74,348.599999999999,81
8465.10433327878,1979716.30296003,U371CB,74,335.800000000003,81
8344.24031344237,1979985.70626118,U371CB,74,307,81
8222.82862316328,1980232.92490139,U371CB,74,272.900000000001,81
8111.7678435283,1980468.7876105,U371CB,74,226.099999999999,81
7980.0164011484,1980727.36675476,U371CB,74,178.099999999997,81
7858.89209242625,1980985.6831421,U371CB,74,126.4,81
7737.49538782181,1981232.90789683,U371CB,74,75.9,81
7616.10240475717,1981480.13417667,U371CB,74,35.8000000000015,81
7494.7131437785,1981727.36198184,U371CB,74,-4.40000000000291,81
7384.22672786826,1981985.41964955,U371CB,74,-30.2,81
7273.7439985589,1982243.47868407,U371CB,74,-55.8999999999971,81
7184.23258386197,1982489.91566277,U371CB,74,-65.1000000000015,81
7094.72417693801,1982736.35363523,U371CB,74,-74.2999999999985,81
7004.941778465,1982971.69931181,U371CB,74,-75.3999999999985,81
6915.71638807061,1983229.23256184,U371CB,74,-75.6000000000029,81
6815.59525948396,1983475.93891141,U371CB,74,-71.7000000000015,81
6726.37627785903,1983733.47426841,U371CB,74,-66.8,81
6636.60576865659,1983968.82396314,U371CB,74,-56.1000000000029,81
6546.83809686126,1984204.17462751,U371CB,74,-43.8000000000015,81
6447.00705565535,1984461.97871413,U371CB,74,-38.4,81
6357.24534661602,1984697.33142174,U371CB,74,-35.5999999999971,81
6267.76418394822,1984943.7784909,U371CB,74,-36.6999999999956,81
6168.22073347773,1985212.67933219,U371CB,74,-40.4,81
6078.19010994514,1985436.94166076,U371CB,74,-50.5,81
5988.99608293094,1985694.48522525,U371CB,74,-65,81
